ID,Time(s),HeartRate(1/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),RespirationRate(1/min),OxygenSaturation,CarbonDioxideSaturation,CoreTemperature(degC),CardiacOutput(L/min),HemoglobinContent(g),CentralVenousPressure(mmHg),Hematocrit,ArterialBloodPH,WhiteBloodCellCount(ct/uL),Bicarbonate-BloodConcentration(mg/dL),Creatinine-BloodConcentration(mg/dL),Lactate-BloodConcentration(mg/dL)
1,0.02,54.55,93.9,110,75.4,14.71,0.979,0.029,37.1,4.25,795,3.62,0,7.43878,7002.81,159.34,1.06,7.46
1,900.04,54.55,94,110,75.5,14.56,0.978,0.03,37.2,4.26,795,3.57,0,7.450243,6969.84,159.57,1,7.38
1,1800.06,53.57,94.3,111,75.4,14.63,0.978,0.03,37.3,4.3,795,3.73,0,7.451712,6878.35,160.48,0.95,7.38
1,2700.08,52.63,94.4,111,75.1,14.63,0.978,0.03,37.4,4.32,795,3.68,0,7.449713,6825.03,161.04,0.91,7.41
1,3600.1,52.63,94.6,111,75.2,14.63,0.978,0.03,37.5,4.34,795,3.74,0,7.448914,6798.59,161.31,0.88,7.45
1,4500.12,52.63,94.6,111,75.2,14.71,0.978,0.03,37.5,4.34,795,3.8,0,7.449512,6787.65,161.42,0.84,7.5
1,5400.14,52.63,94.6,111,75.2,14.71,0.978,0.03,37.6,4.35,795,3.79,0,7.449104,6785.69,161.43,0.81,7.56
1,6300.16,52.63,94.6,111,75.2,14.78,0.978,0.03,37.7,4.34,795,3.77,0,7.449678,6788.96,161.39,0.77,7.62
1,7200.18,52.63,94.6,111,75.2,14.85,0.977,0.03,37.7,4.34,795,3.73,0,7.449859,6795.34,161.31,0.74,7.68
1,8100.2,51.72,94.7,112,74.9,15,0.978,0.03,37.8,4.3,795,3.76,0,7.457005,6766.84,161.54,0.72,7.72
1,9000.22,50.85,94.7,112,74.4,15.23,0.978,0.03,37.8,4.37,795,3.77,0,7.451248,6687.18,162.4,0.69,7.75
1,9900.24,50.85,95.1,113,74.8,15.46,0.978,0.03,37.9,4.41,795,3.89,0,7.448211,6647.8,162.85,0.66,7.81
1,10800.26,50.85,95.1,113,74.8,15.71,0.977,0.03,37.9,4.41,795,3.91,0,7.452177,6636.39,162.97,0.64,7.87
1,11700.28,50.85,95.1,113,74.8,16.13,0.978,0.031,38,4.41,795,3.91,0,7.463932,6641.31,162.89,0.62,7.94
1,12600.3,50.85,95,113,74.7,16.57,0.977,0.031,38,4.4,795,3.9,0,7.465782,6655.55,162.78,0.59,8
1,13500.32,50.85,94.9,113,74.6,16.95,0.977,0.03,38,4.39,795,3.88,0,7.453418,6675.13,162.78,0.57,8.07
1,14400.34,50.85,94.9,113,74.6,17.44,0.977,0.03,38.1,4.33,795,3.8,0,7.455346,6697.8,162.64,0.55,8.15
1,15300.36,51.72,94.8,112,74.9,17.86,0.977,0.03,38.1,4.37,795,3.85,0,7.456464,6722.57,162.48,0.53,8.23
1,16200.38,51.72,94.7,112,74.8,18.29,0.976,0.03,38.1,4.36,795,3.77,0,7.456369,6747.89,162.32,0.51,8.33
1,17100.4,52.63,95,112,75.5,18.63,0.976,0.03,38.1,4.37,795,3.76,0,7.45873,6773.52,162.16,0.49,8.44
1,18000.42,52.63,94.5,111,75.2,18.99,0.976,0.03,38.2,4.34,795,3.74,0,7.460167,6799.33,162,0.48,8.56
1,18900.44,52.63,94.4,111,75.1,19.23,0.975,0.03,38.2,4.32,795,3.69,0,7.458758,6824.57,161.87,0.46,8.68
1,19800.46,53.57,94.8,111,75.7,19.48,0.975,0.03,38.2,4.35,795,3.74,0,7.461948,6849.21,161.71,0.44,8.82
1,20700.48,53.57,94.3,111,75.4,19.74,0.975,0.03,38.2,4.31,795,3.67,0,7.45972,6873.63,161.6,0.43,8.96
1,21600.5,53.57,94.2,111,75.2,20,0.974,0.03,38.2,4.29,795,3.68,0,7.461748,6897.42,161.45,0.41,9.15
1,22500.52,53.57,93.9,110,75,20.13,0.974,0.03,38.3,4.26,795,3.62,0,7.467204,6920.45,161.31,0.4,10.11
1,23400.54,54.55,94.1,110,75.6,20.27,0.974,0.03,38.3,4.28,795,3.64,0,7.469374,6943.39,161.15,0.38,12.8
